trv_loc_nm,yw,bubble_cnt
서울특별시,201841,12
부산광역시,201841,7
대구광역시,201841,4
인천광역시,201841,11
광주광역시,201841,3
대전광역시,201841,4
울산광역시,201841,2
세종특별자치시,201841,1
경기도,201841,21
강원도,201841,20
충청북도,201841,8
충청남도,201841,11
전라북도,201841,9
전라남도,201841,10
경상북도,201841,13
경상남도,201841,11
제주특별자치도,201841,5
서울특별시,201842,12
부산광역시,201842,7
대구광역시,201842,5
인천광역시,201842,11
광주광역시,201842,3
대전광역시,201842,4
울산광역시,201842,2
세종특별자치시,201842,1
경기도,201842,21
강원도,201842,20
충청북도,201842,9
충청남도,201842,11
전라북도,201842,10
전라남도,201842,10
경상북도,201842,14
경상남도,201842,11
제주특별자치도,201842,5
서울특별시,201843,13
부산광역시,201843,7
대구광역시,201843,5
인천광역시,201843,10
광주광역시,201843,3
대전광역시,201843,4
울산광역시,201843,2
세종특별자치시,201843,1
경기도,201843,20
강원도,201843,18
충청북도,201843,9
충청남도,201843,10
전라북도,201843,10
전라남도,201843,10
경상북도,201843,14
경상남도,201843,11
제주특별자치도,201843,5
서울특별시,201844,12
부산광역시,201844,6
대구광역시,201844,4
인천광역시,201844,10
광주광역시,201844,3
대전광역시,201844,4
울산광역시,201844,2
세종특별자치시,201844,1
경기도,201844,20
강원도,201844,16
충청북도,201844,9
충청남도,201844,11
전라북도,201844,11
전라남도,201844,11
경상북도,201844,14
경상남도,201844,11
제주특별자치도,201844,5
서울특별시,201845,12
부산광역시,201845,6
대구광역시,201845,5
인천광역시,201845,10
광주광역시,201845,3
대전광역시,201845,4
울산광역시,201845,2
세종특별자치시,201845,1
경기도,201845,18
강원도,201845,14
충청북도,201845,8
충청남도,201845,10
전라북도,201845,10
전라남도,201845,10
경상북도,201845,13
경상남도,201845,11
제주특별자치도,201845,5
서울특별시,201846,13
부산광역시,201846,7
대구광역시,201846,5
인천광역시,201846,11
광주광역시,201846,3
대전광역시,201846,4
울산광역시,201846,2
세종특별자치시,201846,1
경기도,201846,19
강원도,201846,14
충청북도,201846,8
충청남도,201846,10
전라북도,201846,9
전라남도,201846,10
경상북도,201846,12
경상남도,201846,11
제주특별자치도,201846,4
서울특별시,201847,12
부산광역시,201847,6
대구광역시,201847,5
인천광역시,201847,9
광주광역시,201847,3
대전광역시,201847,4
울산광역시,201847,2
