bbl_id,bbl_loc,dur_w
0,8,1
0,5,1
0,4,1
0,0,1
0,1,4
0,0,4
0,8,1
0,9,1
0,3,3
0,6,1
0,7,1
0,8,1
0,1,1
0,0,7
0,6,1
0,5,2
0,7,2
0,1,2
0,0,3
0,2,2
0,0,3
0,1,1
0,9,1
0,8,2
0,3,1
0,2,3
0,3,2
0,1,2
0,0,1
0,7,1
0,5,1
0,7,1
0,8,3
0,9,1
0,8,1
0,5,2
0,7,2
0,8,2
0,9,1
0,8,1
0,7,1
0,3,2
0,5,1
0,2,2
0,5,1
0,0,3
0,7,1
0,8,2
0,3,1
0,5,1
0,4,1
0,3,1
0,8,1
0,6,4
0,7,2
0,8,7
0,9,4
0,8,1
0,6,5
0,7,4
0,6,1
0,8,3
0,6,1
0,2,2
0,3,2
0,2,2
0,1,3
0,2,1
0,8,1
0,6,1
0,7,1
0,2,1
0,0,1
1,1,2
1,0,2
1,1,4
1,2,1
1,0,1
1,1,1
1,0,1
1,3,1
1,4,1
1,3,1
1,5,1
1,4,1
1,3,1
1,0,4
1,1,1
1,3,2
1,0,11
1,3,1
1,8,1
1,7,1
1,5,1
1,7,2
1,9,2
1,4,2
1,3,3
1,2,2
1,0,1
1,2,1
1,4,1
1,5,1
1,7,1
1,8,6
1,7,2
1,8,1
1,9,11
1,8,4
1,9,2
1,6,1
1,8,2
1,5,1
1,4,1
1,1,1
1,0,10
1,1,1
1,0,5
1,1,1
1,0,2
1,1,1
1,2,1
1,0,5
1,3,1
1,8,4
1,6,1
1,8,5
1,7,1
1,8,3
1,7,1
1,8,2
1,7,1
1,9,1
1,8,1
1,9,3
2,8,2
2,9,7
2,8,2
2,7,1
2,6,1
2,3,1
2,0,2
2,1,2
2,0,2
2,2,1
2,1,1
2,0,3
2,3,1
2,6,1
2,7,1
2,2,1
2,1,2
2,0,15
2,8,3
2,9,1
2,6,2
2,9,1
2,8,2
2,3,2
2,8,2
2,6,1
2,8,2
2,9,5
2,8,1
2,9,17
2,8,2
2,9,2
2,8,1
2,9,7
2,8,2
2,7,1
2,0,1
2,9,2
2,8,1
2,4,1
2,9,1
2,8,5
2,7,2
2,6,1
2,5,2
2,7,1
2,4,1
2,7,1
2,6,2
2,5,2
2,3,1
2,5,1
2,3,1
2,5,1
2,8,2
2,6,1
2,7,1
2,8,1
2,7,1
2,4,3
2,0,1
2,1,1
3,4,1
3,3,1
3,4,1
3,2,5
3,4,1
3,1,3
3,0,5
3,2,1
3,1,1
3,5,1
3,4,2
3,6,1
3,8,3
3,9,2
3,8,1
3,9,1
3,8,4
3,9,4
3,7,1
3,2,1
3,3,1
3,5,1
3,7,1
3,9,1
3,8,2
3,9,6
3,8,1
3,6,1
3,8,2
3,6,1
3,8,1
3,6,1
3,8,1
3,3,1
3,2,2
3,6,1
3,4,1
3,0,3
3,1,2
3,0,1
3,8,2
3,9,2
3,8,1
3,7,5
3,8,2
3,9,1
3,7,2
3,8,3
3,9,1
3,8,4
3,7,1
3,8,6
3,7,2
3,8,2
3,7,4
3,8,1
3,4,1
3,8,1
3,6,1
3,7,2
3,5,1
3,4,1
3,7,1
3,9,3
3,8,1
3,9,3
3,8,2
3,7,1
3,1,1
3,0,5
3,9,3
3,8,1
4,8,8
4,9,9
4,2,1
4,0,2
4,1,2
4,0,1
4,1,4
4,6,1
4,8,1
4,6,1
4,5,1
4,6,1
4,8,2
4,9,1
4,6,1
4,7,1
4,6,1
4,8,4
4,9,3
4,7,1
4,8,1
4,7,1
4,6,2
4,7,1
4,4,1
4,8,1
4,9,5
4,8,4
4,7,1
4,5,2
4,0,2
4,2,1
4,4,2
4,1,1
4,3,1
4,2,1
4,3,2
4,0,12
4,9,3
4,8,5
4,6,1
4,8,1
